nm_lig,ID,RADIUS-HULL,SURFACE-HULL,DIAMETER-HULL,PSI,%-ATOM-CONVEXE,SMALLEST-SIZE,FACE,INERTIA-3,INERTIA-2,INERTIA-1,PCI,VOLUME-HULL,RADIUS-CYLINDER,CONVEX-SHAPE-COEFFICIENT
1hih,1hih,7.341489,254.720721,14.682978,0.286437,0.390243902439,4.730526,28,0.040167,0.247486,0.712346,0.098340,232.885544,7.293011,1.000000
1hii,1hii,7.420018,249.831960,14.840036,0.301500,0.463414634146,5.105199,34,0.052365,0.242362,0.705273,0.058981,225.523351,7.222316,1.000000
1hiv,1hiv,9.562231,389.989120,19.124097,0.302254,0.389830508475,5.823615,42,0.052629,0.164248,0.783123,0.087600,502.220018,9.493965,0.999962
1hpv,1hpv,7.795663,223.386674,15.591325,0.279477,0.457142857143,4.746795,28,0.050466,0.218074,0.731460,0.087616,209.548874,7.689412,1.000000
1hsh_AB,1hsh_AB,8.186654,306.732368,16.234807,0.308607,0.4,5.375366,32,0.045350,0.221398,0.733252,0.068975,330.859744,8.175127,0.983082
1hsh_CD_superposmodifChn_lig.pdb,1hsh_CD,8.148464,303.718990,16.191624,0.306623,0.422222222222,5.338858,34,0.044083,0.233255,0.722662,0.083726,328.700652,8.140181,0.987077
1ivp,1ivp,10.081939,413.775006,20.155207,0.321920,0.389830508475,7.001115,42,0.063747,0.149389,0.786864,0.077227,558.980425,10.010903,0.999140
1sdt_renumerote,1sdt,8.065053,299.146203,16.113486,0.316844,0.4,5.524872,32,0.049800,0.230612,0.719588,0.071326,330.608579,8.043537,0.997939
2hb3,2hb3,8.046388,230.284497,16.092777,0.272092,0.487179487179,4.775886,34,0.047704,0.154369,0.797926,0.092641,219.778481,7.988342,1.000000
2hpe,2hpe,13.441259,382.825334,26.882518,0.182171,0.4,5.205823,32,0.020746,0.031447,0.947807,0.118304,399.180739,13.377389,1.000000
2hpf,2hpf,12.179551,338.017389,24.359101,0.160901,0.421052631579,4.076210,28,0.014403,0.056594,0.929003,0.108204,292.451378,12.178695,1.000000
2ien_renumerote,2ien,7.713152,219.610812,15.417443,0.280297,0.5,4.552808,34,0.046659,0.178743,0.774598,0.086594,206.476153,7.573916,0.998851
2z4o_renumerote,2z4o,7.923530,226.085813,15.832187,0.265270,0.475,4.505327,34,0.040983,0.148147,0.810871,0.098981,208.836521,7.914760,0.998123
3ebz_renumerote,3ebz,7.667618,216.022024,15.335235,0.279491,0.5,4.569418,34,0.046605,0.177149,0.776246,0.087916,201.620694,7.498394,1.000000
3ec0_renumerote,3ec0,7.965325,226.630058,15.930651,0.274993,0.487179487179,4.801490,34,0.048792,0.150014,0.801195,0.090331,215.841236,7.897812,1.000000
3ecg_renumerote,3ecg,7.965939,226.897284,15.930719,0.267790,0.475,4.602058,34,0.040770,0.147937,0.811292,0.088369,212.495785,7.935909,0.999854
3ekv,3ekv,7.674777,210.310229,15.349554,0.276525,0.457142857143,4.622581,28,0.048479,0.210185,0.741336,0.085307,186.464537,7.622584,1.000000
3nu3_renumerote,3nu3,7.674312,216.413322,15.348623,0.277736,0.457142857143,4.594546,28,0.046745,0.230342,0.722913,0.087245,194.044763,7.522804,1.000000
3s45,3s45,7.616496,206.200485,15.232992,0.282980,0.428571428571,4.565164,26,0.050337,0.203011,0.746652,0.085346,184.597609,7.542102,1.000000
4hla,4hla,7.660092,204.409244,15.317373,0.277038,0.473684210526,4.684533,32,0.047861,0.164666,0.787473,0.083027,190.373958,7.562016,0.999633
4ll3_superpos_conf2_lig.pdb,4ll3_conf2,7.749800,216.186517,15.499600,0.272732,0.473684210526,4.452985,32,0.045482,0.184222,0.770296,0.095624,199.658094,7.592309,1.000000
2nph_renumerote_superpos_peptA_lig.pdb,2nph_pA,6.259913,184.112102,12.519825,0.261631,0.484848484848,3.291026,28,0.043061,0.325087,0.631853,0.143030,152.640804,6.234641,1.000000
2mip_AB_superpos_peptB_lig.pdb,2mip_AB_pB,10.400827,354.004133,20.801653,0.230504,0.425925925926,5.062560,42,0.034790,0.109346,0.855864,0.081514,394.121530,10.400761,1.000000
2mip_CD_superposmodifChn_peptB_lig.pdb,2mip_CD_pB,9.840359,360.823645,19.680718,0.247291,0.444444444444,4.891390,44,0.037345,0.136524,0.826131,0.088237,419.272392,9.806316,1.000000
2mip_CD_superposmodifChn_peptA_lig.pdb,2mip_CD_pA,9.834661,356.643724,19.582941,0.229349,0.351851851852,4.934348,34,0.029153,0.146606,0.824241,0.088520,374.593472,9.805750,0.991217
2mip_AB_superpos_peptA_lig.pdb,2mip_AB_pA,10.358954,370.587945,20.717909,0.225509,0.37037037037,4.843906,36,0.036606,0.128701,0.834693,0.098289,408.137611,10.337730,1.000000
2nph_renumerote_superpos_peptB_lig.pdb,2nph_pB,7.532641,204.285297,15.065282,0.284357,0.540540540541,4.581290,36,0.056223,0.181923,0.761854,0.092521,188.701935,7.527986,1.000000
4ll3_superpos_conf1_lig.pdb,4ll3_conf1,7.657105,215.297688,15.314210,0.277892,0.473684210526,4.490908,32,0.045883,0.183060,0.771057,0.093701,199.351296,7.507620,1.000000
